City, Time, Temperature, Condition
New Delhi, 2022-09-16 18:00:00, 24.89, light rain
New Delhi, 2022-09-16 21:00:00, 24.22, light rain
New Delhi, 2022-09-17 00:00:00, 23.97, light rain
New Delhi, 2022-09-17 03:00:00, 26.24, clear sky
New Delhi, 2022-09-17 06:00:00, 31.84, clear sky
New Delhi, 2022-09-17 09:00:00, 34.7, clear sky
New Delhi, 2022-09-17 12:00:00, 33.72, clear sky
New Delhi, 2022-09-17 15:00:00, 29.99, clear sky
New Delhi, 2022-09-17 18:00:00, 28.02, light rain
New Delhi, 2022-09-17 21:00:00, 26.94, light rain
New Delhi, 2022-09-18 00:00:00, 26.58, clear sky
New Delhi, 2022-09-18 03:00:00, 29.04, clear sky
New Delhi, 2022-09-18 06:00:00, 34.14, clear sky
New Delhi, 2022-09-18 09:00:00, 36.85, clear sky
New Delhi, 2022-09-18 12:00:00, 35.48, clear sky
New Delhi, 2022-09-18 15:00:00, 32.61, clear sky
New Delhi, 2022-09-18 18:00:00, 30.25, clear sky
New Delhi, 2022-09-18 21:00:00, 28.97, scattered clouds
New Delhi, 2022-09-19 00:00:00, 28.72, broken clouds
New Delhi, 2022-09-19 03:00:00, 31.27, scattered clouds
New Delhi, 2022-09-19 06:00:00, 35.94, few clouds
New Delhi, 2022-09-19 09:00:00, 37.96, broken clouds
New Delhi, 2022-09-19 12:00:00, 36.42, scattered clouds
New Delhi, 2022-09-19 15:00:00, 33.55, clear sky
New Delhi, 2022-09-19 18:00:00, 31.55, clear sky
New Delhi, 2022-09-19 21:00:00, 30.15, clear sky
New Delhi, 2022-09-20 00:00:00, 29.51, clear sky
New Delhi, 2022-09-20 03:00:00, 31.86, clear sky
New Delhi, 2022-09-20 06:00:00, 36.3, clear sky
New Delhi, 2022-09-20 09:00:00, 38.43, clear sky
New Delhi, 2022-09-20 12:00:00, 36.73, clear sky
New Delhi, 2022-09-20 15:00:00, 33.99, clear sky
New Delhi, 2022-09-20 18:00:00, 31.94, clear sky
New Delhi, 2022-09-20 21:00:00, 30.79, clear sky
New Delhi, 2022-09-21 00:00:00, 30, clear sky
New Delhi, 2022-09-21 03:00:00, 32.12, clear sky
New Delhi, 2022-09-21 06:00:00, 36.74, clear sky
